"","V1"
"init","5.222576 secs"
"unnamed.chunk.1","0.01680303 secs"
"unnamed.chunk.2","0.6945062 secs"
"mito","0.08947301 secs"
"qc","0.009220123 secs"
"qc2","1.774448 secs"
"unnamed.chunk.3","0.9512761 secs"
"normalize","0.408087 secs"
"normalize.default","0.00166893 secs"
"var_features","2.905747 secs"
"regress","2.086624 secs"
"regressvar","0.001796007 secs"
"regressvarmt","0.00190115 secs"
"pca","7.655557 secs"
"pca_viz","0.01140308 secs"
"unnamed.chunk.4","0.3841629 secs"
"unnamed.chunk.5","0.3339679 secs"
"single.heatmap","0.151237 secs"
"multi.heatmap","1.861055 secs"
"jackstraw","0.005901098 secs"
"jsplots","0.03412604 secs"
"elbow_plot","0.1358898 secs"
"cluster","0.973572 secs"
"tsne","7.422575 secs"
"tsneplot","0.427248 secs"
"saveobject","0.002007961 secs"
"unnamed.chunk.6","7.483577 secs"
"unnamed.chunk.7","0.00602293 secs"
"unnamed.chunk.8","0.02609301 secs"
"unnamed.chunk.9","0.116514 secs"
"markers1","0.569036 secs"
"unnamed.chunk.10","0.3398211 secs"
"unnamed.chunk.11","3.592405 secs"
"markersroc","12.60412 secs"
"markerplots","0.910763 secs"
"unnamed.chunk.12","0.890661 secs"
"unnamed.chunk.13","3.594533 secs"
"clusterHeatmap","4.771301 secs"
"labelplot","0.459532 secs"
"save.img","0.64678 secs"
"unnamed.chunk.14","0.380928 secs"
"save.rds","0.002217054 secs"
"save2","11.15135 secs"
